"Index","Symbol","Last","High","Low","Chg.","Chg. %","Time"
"Dow Jones Industrial Average","DJI","33,733.96","33,782.92","33,310.56","104.40","0.31%","16:20:01"
"S&P 500","US500","4,016.95","4,023.92","3,989.79","-2.86","-0.07%","16:20:00"
"NASDAQ Composite","IXIC","11,334.27","11,378.15","11,282.65","-30.14","-0.27%","17:12:13"
"US Small Cap 2000","US2000","1,886.59","1,892.71","1,878.33","-4.17","-0.22%","15:59:56"
"CBOE Volatility Index","VIX","19.20","20.47","18.91","-0.61","-3.08%","17:04:34"
"S&P/TSX Composite","GSPTSE","20,629.55","20,653.17","20,502.36","-2.03","-0.01%","16:20:01"
"Bovespa","BVSP","113,028.00","113,040.00","111,669.00","1,291","1.16%","16:19:00"
"S&P/BMV IPC","MXX","54,870.50","55,071.58","54,392.66","529.25","0.97%","16:16:00"
"DAX","DE40","15,093.11","15,147.45","15,022.55","-9.84","-0.07%","11:55:00"
"FTSE 100","UK100","7,757.36","7,800.89","7,741.75","-27.31","-0.35%","11:35:00"
"CAC 40","FCHI","7,050.48","7,064.69","7,011.40","18.46","0.26%","12:05:02"
"Euro Stoxx 50","STOXX50","4,153.02","4,167.02","4,132.24","2.20","0.05%","11:34:45"
"AEX","AEX","746.40","750.71","742.99","-1.47","-0.20%","12:05:02"
"IBEX 35","ES35","8,967.10","8,978.10","8,906.00","23.00","0.26%","11:38:00"
"FTSE MIB","IT40","25,884.31","25,929.73","25,735.41","62.86","0.24%","11:35:00"
"SMI","SWI20","11,406.29","11,436.79","11,368.81","0.02","0.06%","11:34:58"
"PSI","PSI20","5,939.21","5,990.28","5,936.16","-33.35","-0.56%","12:05:02"
"BEL 20","BFX","3,882.65","3,900.07","3,867.47","-7.19","-0.18%","11:29:45"
"ATX","ATX","3,329.08","3,334.15","3,308.79","9.49","0.29%","11:35:28"
"OMX Stockholm 30","OMXS30","2,216.17","2,229.46","2,204.42","-8.36","-0.38%","11:30:00"
"OMX Copenhagen 25","OMXC25CAP","1,720.54","1,736.12","1,718.68","-8.95","-0.52%","11:00:00"
"MOEX Russia","IMOEX","2,172.75","2,199.29","2,172.75","-12.56","-0.57%","10:51:01"
"RTSI","IRTS","990.41","1,008.56","990.41","-8.28","-0.83%","10:51:01"
"WIG20","WIG20","1,918.60","1,945.78","1,912.85","-4.55","-0.24%","11:15:00"
"Budapest SE","BUX","46,777.30","46,777.30","46,293.13","337.16","0.73%","23/01"
"BIST 100","XU100","5,366.52","5,438.71","5,244.17","-37.91","-0.70%","10:10:12"
"TA 35","TA35","1,828.97","1,837.15","1,821.92","-2.98","-0.16%","10:24:33"
"Tadawul All Share","TASI","10,795.60","10,813.86","10,767.26","29.83","0.28%","07:21:00"
"Nikkei 225","JP225","27,299.19","27,381.00","27,150.43","393.15","1.46%","01:00:00"
"S&P/ASX 200","AXJO","7,490.40","7,497.80","7,453.80","33.10","0.44%","00:41:44"
"Dow Jones New Zealand","NZDOW","318.05","319.09","317.57","0.00","0.00%","13:19:00"
"Shanghai Composite","SSEC","3,264.81","3,267.06","3,247.20","24.53","0.76%","20/01"
"SZSE Component","SZI","11,980.62","11,997.53","11,931.88","67.36","0.56%","20/01"
"FTSE China A50","FTXIN9","13,958.40","14,027.34","13,906.53","51.87","0.37%","20/01"
"Dow Jones Shanghai","DJSH","473.51","473.89","470.04","0.00","0.00%","20/01"
"Hang Seng","HK50","22,044.65","22,051.77","21,754.35","393.67","1.82%","20/01"
"Taiwan Weighted","TWII","14,932.93","14,945.23","14,884.78","5.92","0.04%","17/01"
"SET Index","SETI","1,682.94","1,693.97","1,682.58","-1.10","-0.07%","04:54:00"
"KOSPI","KS11","2,395.26","2,395.97","2,372.57","14.92","0.63%","20/01"
"Jakarta Stock Exchange Composite Index","JKSE","6,860.85","6,906.79","6,841.01","-14.08","-0.20%","03:00:00"
"Nifty 50","NSEI","18,118.30","18,201.25","18,078.65","-0.25","-0.01%","05:02:22"
"BSE Sensex 30","BSESN","60,978.75","61,266.06","60,849.12","37.08","0.06%","07:28:11"
"PSEi Composite","PSI","7,041.50","7,137.62","7,039.05","-28.18","-0.40%","01:50:00"
"Karachi 100","KSE","39,055.65","39,091.70","38,443.59","612.06","1.59%","07:29:49"
"VN 30","VNI30","1,121.92","1,126.12","1,108.96","0.00","0.00%","19/01"
"CSE All-Share","CSE","8,990.79","9,025.19","8,718.15","272.64","3.13%","23/01"